panel,arm,null,n,median,q25,q75,module,ctrl_amp_median,arm_power80_bound,slope,r2,intercept,n_fits,frac_railed_floor,frac_railed_ceiling,median_lam_naive_um
a,H1 human spleen (tierAmg_p95),"N4-tile (in-tissue, tile scope)",58.0,0.90628,0.78364,1.14173,,,,,,,,,,
a,H1 human spleen (tierAmg_p95),N2 matched decoy,58.0,0.97864,0.9463,0.99396,,,,,,,,,,
a,H1 human spleen (tierAmg_p95),N6 receiver baseline,58.0,0.73949,0.45938,0.93875,,,,,,,,,,
a,H1 human spleen (tierAmg_p95),anatomical covariate alone,58.0,0.93068,0.75093,0.99335,,,,,,,,,,
a,H1 human spleen (tierAmg_p95),N5 nuisance covariates,58.0,0.12639,-0.02452,0.40156,,,,,,,,,,
a,H1 human spleen (tierAmg_p95),N5 + N6,58.0,0.16083,0.00466,0.38693,,,,,,,,,,
a,H1 human spleen (tierAmg_p95),N2 + N5 + N6  (PRIMARY),58.0,0.15822,0.00741,0.38373,,,,,,,,,,
a,"H1, frozen-literal tierA_p95",N1 label permutation,61.0,0.26227,0.01637,0.61723,,,,,,,,,,
a,"H1, frozen-literal tierA_p95","N3 torus, published bbox",61.0,0.99746,0.97914,1.00641,,,,,,,,,,
a,"H1, frozen-literal tierA_p95","N4 rotation, published bbox",61.0,1.01814,0.86065,1.26957,,,,,,,,,,
a,"H1, frozen-literal tierA_p95",N3-var (PRIMARY corrected),61.0,1.00554,0.95302,1.05014,,,,,,,,,,
a,"H1, frozen-literal tierA_p95",N4-var (PRIMARY corrected),61.0,0.97875,0.93637,1.01898,,,,,,,,,,
a,"H1, frozen-literal tierA_p95","N3-tile (in-tissue, tile scope)",61.0,0.96538,0.849,1.07686,,,,,,,,,,
a,"H1, frozen-literal tierA_p95","N4-tile (in-tissue, tile scope)",61.0,0.91006,0.76898,1.13716,,,,,,,,,,
a,"H1, frozen-literal tierA_p95",N2 matched decoy,61.0,0.97388,0.94718,0.98851,,,,,,,,,,
a,"H1, frozen-literal tierA_p95",N6 receiver baseline,61.0,0.80068,0.50372,0.96159,,,,,,,,,,
a,"H1, frozen-literal tierA_p95",anatomical covariate alone,61.0,0.95259,0.80209,1.00224,,,,,,,,,,
a,"H1, frozen-literal tierA_p95",N5 nuisance covariates,61.0,0.17452,-0.02525,0.47674,,,,,,,,,,
a,"H1, frozen-literal tierA_p95",N5 + N6,61.0,0.16277,0.00698,0.47655,,,,,,,,,,
a,"H1, frozen-literal tierA_p95",N2 + N5 + N6  (PRIMARY),61.0,0.16304,0.00403,0.47594,,,,,,,,,,
b,M1 (tierA_p95),,8.0,,0.10853,0.17183,downstream_arrest,0.13339,0.18333,,,,,,,
b,M1 (tierA_p95),,35.0,,-0.03267,0.08021,emt_ecm,0.01367,0.18333,,,,,,,
b,M1 (tierA_p95),,32.0,,-0.01509,0.06956,il6_jak_stat3,0.02563,0.18333,,,,,,,
b,M1 (tierA_p95),,21.0,,0.00776,0.09724,interferon_response,0.03482,0.18333,,,,,,,
b,M1 (tierA_p95),,22.0,,0.00557,0.07831,secondary_senescence,0.03734,0.18333,,,,,,,
b,M1 (tierA_p95),,35.0,,-0.00048,0.05303,tnfa_nfkb_proximal,0.01778,0.18333,,,,,,,
b,H1 (tierAmg_p95),,27.0,,0.00851,0.077,downstream_arrest,0.03879,0.10935,,,,,,,
b,H1 (tierAmg_p95),,1.0,,-0.00785,-0.00785,emt_ecm,-0.00785,0.10935,,,,,,,
b,H1 (tierAmg_p95),,7.0,,-0.00745,0.02928,il6_jak_stat3,0.02011,0.10935,,,,,,,
b,H1 (tierAmg_p95),,10.0,,-0.03509,0.07098,interferon_response,0.01915,0.10935,,,,,,,
b,H1 (tierAmg_p95),,4.0,,0.00568,0.07755,oxidative_stress,0.02723,0.10935,,,,,,,
b,H1 (tierAmg_p95),,3.0,,-0.00932,0.01098,secondary_senescence,-0.00054,0.10935,,,,,,,
b,H1 (tierAmg_p95),,6.0,,0.0503,0.0767,tnfa_nfkb_proximal,0.05288,0.10935,,,,,,,
c_poisson,M1,,77.0,,,,,,,-0.5249,0.9843,-0.922,,,,
c_poisson,H1,,70.0,,,,,,,-0.5124,0.9783,-0.8471,,,,
c_railing,M1 tierA_p95,,,,,,,,,,,,315.0,0.327,0.273,14.732
c_railing,H1 tierAmg_p95,,,,,,,,,,,,343.0,0.2507,0.449,38.163
c_railing,H1 tierA_p95,,,,,,,,,,,,343.0,0.2566,0.484,40.488
