null,family,frac_retaining_a_neighbour,real_median_nbrs,null_median_nbrs,frac_in_occupancy,median_displacement_um,sf_median,sf_q25,sf_q75,sf_published,note
A7_BIOLOGICAL_n2,M1 negative-control-probe kernel,,,,,,0.2814,0.2135,0.3492,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=3.28e-06, 1155 fits"
A7_curve_bin_2.5um,M1 negative-control-probe kernel,,,,,2.5,0.0185855412281941,,,0.1663967877594926,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=63"
A7_curve_bin_7.5um,M1 negative-control-probe kernel,,,,,7.5,0.00703743505016446,,,0.02913088680062902,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=9197"
A7_curve_bin_12.5um,M1 negative-control-probe kernel,,,,,12.5,0.07715137456328956,,,0.0023042903089396586,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=31827"
A7_curve_bin_17.5um,M1 negative-control-probe kernel,,,,,17.5,0.10203241887331056,,,-0.000446558807511237,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=38886"
A7_curve_bin_22.5um,M1 negative-control-probe kernel,,,,,22.5,0.10426833428782158,,,0.0033989846631405887,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=39757"
A7_curve_bin_27.5um,M1 negative-control-probe kernel,,,,,27.5,0.09672488170339409,,,-0.010275593142285962,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=40215"
A7_curve_bin_32.5um,M1 negative-control-probe kernel,,,,,32.5,0.11340679769493119,,,0.004000961461616367,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=39105"
A7_curve_bin_37.5um,M1 negative-control-probe kernel,,,,,37.5,0.0972911537298222,,,-0.017077960854085403,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=36292"
A7_curve_bin_42.5um,M1 negative-control-probe kernel,,,,,42.5,0.11982706741295314,,,0.00042709545743097125,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=32436"
A7_curve_bin_47.5um,M1 negative-control-probe kernel,,,,,47.5,0.13198718082265626,,,0.0062100640486151505,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=27743"
A7_curve_bin_52.5um,M1 negative-control-probe kernel,,,,,52.5,0.13764364648284305,,,0.006812942536375373,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=23508"
A7_curve_bin_57.5um,M1 negative-control-probe kernel,,,,,57.5,0.12886527492388342,,,-0.01263229625369556,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=19030"
A7_curve_bin_62.5um,M1 negative-control-probe kernel,,,,,62.5,0.13104310186330986,,,-0.01660676072293738,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=14946"
A7_curve_bin_67.5um,M1 negative-control-probe kernel,,,,,67.5,0.166663675775768,,,0.01179304130422958,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=12127"
A7_curve_bin_72.5um,M1 negative-control-probe kernel,,,,,72.5,0.1679019073509784,,,0.005249607539507737,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=9080"
A7_curve_bin_77.5um,M1 negative-control-probe kernel,,,,,77.5,0.18658614490701447,,,0.008578309427976799,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=6950"
A7_curve_bin_82.5um,M1 negative-control-probe kernel,,,,,82.5,0.20204046562624758,,,0.010076141851635318,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=5069"
A7_curve_bin_87.5um,M1 negative-control-probe kernel,,,,,87.5,0.22053388316104566,,,0.015539754882871805,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=3596"
A7_curve_bin_92.5um,M1 negative-control-probe kernel,,,,,92.5,0.27450871552228534,,,0.03727488912844107,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=2500"
A7_curve_bin_97.5um,M1 negative-control-probe kernel,,,,,97.5,0.29268737984041276,,,0.03307363753529742,"panel h curve: sf_median=naive mean z, sf_published=N6+N5-residualised mean z, n=1723"
negative_control_probe_kernel_H1,PENDING,,,,,,,,,,"Section 13 test A7, HUMAN half — needs H1, behind the freeze"
