file,tier,status,n,n_on_panel,sha256_16,role
genesets/human/D_spleen_red_pulp.txt,D,FROZEN,28,28,92e6c8b5780a08df,FROZEN A6 compartment marker set (red/white pulp axis)
genesets/human/D_spleen_white_pulp_follicle.txt,D,FROZEN,13,13,461d95da911cbc6e,FROZEN A6 compartment marker set (red/white pulp axis)
genesets/human/D_spleen_white_pulp_tzone.txt,D,FROZEN,24,24,846d92bda37cdd89,FROZEN A6 compartment marker set (red/white pulp axis)
genesets/human/E_genomic_controls.txt,E,FROZEN,21,n/a,90ad364adc8a0947,FROZEN control features -- audit test A7
genesets/human/E_housekeeping_expanded.txt,E,FROZEN,8,8,35a94077c67ac4c2,FROZEN housekeeping control (thin: report as such)
genesets/human/E_housekeeping_planA.txt,E,FROZEN,1,1,e8eaea2146a73a74,FROZEN housekeeping control (thin: report as such)
genesets/human/E_negative_control_codewords.txt,E,FROZEN,609,n/a,43b0557855adeecd,FROZEN control features -- audit test A7
genesets/human/E_negative_control_probes.txt,E,FROZEN,40,n/a,1c67525e2b549d1b,FROZEN control features -- audit test A7
genesets/human/variants/A_PHASE7_S10_16.txt,A,"variant (reported, not used)",14,14,fa68c62b93ca9d26,"REPORTED, FAILED the section 11 gate (14 on-panel, 5 survive). NOT USED."
genesets/human/variants/A_SENDER_FINAL_noB4_noB7.txt,A,"variant (reported, not used)",75,75,30f50784bb7ccd1c,REPORTED. Partial-removal sensitivity set. NOT USED.
genesets/human/variants/A_SENDER_FINAL_noB7.txt,A,"variant (reported, not used)",33,33,497f2f28828dff53,REPORTED. Identical to the primary now that B7 is disjoint by construction.
genesets/human/variants/B_secondary_senescence_C6_minusA_ported.txt,B,"variant (reported, not used)",12,12,f56d5785405c06a2,"C6-as-written against the ported caller: 12 genes, FAILS >=30. NOT USED."
genesets/human/variants/B_secondary_senescence_C6_minusA_s10.txt,B,"variant (reported, not used)",24,24,c2678ea53049e659,"C6-as-written against the section 10 caller: 24 genes, FAILS >=30. NOT USED."
genesets/human/variants/B_secondary_senescence_C6_sourced_ported.txt,B,"variant (reported, not used)",116,116,e38443aac1a9d695,Identical to the FROZEN B_secondary_senescence; kept as the audit trail of how it was built.
genesets/human/variants/B_secondary_senescence_C6_sourced_s10.txt,B,"variant (reported, not used)",119,119,26768c30d98dc130,Re-sourced against the section 10 caller. NOT USED (that caller failed the gate).
genesets/human/variants/B_secondary_senescence_v1_curated_ported.txt,B,"variant (reported, not used)",35,35,496fa55770dfb3cc,SUPERSEDED B7. Required to be reported by section 23 / C6. NOT USED.
