gene_name,gene_id
ADGRB2,ENSG00000121753
ADGRD1,ENSG00000111452
ADGRD2,ENSG00000180264
ADGRE1,ENSG00000174837
ADGRE2,ENSG00000127507
ADGRE5,ENSG00000123146
ADGRG5,ENSG00000159618
ADGRG6,ENSG00000112414
ADGRL1,ENSG00000072071
ADGRL4,ENSG00000162618
ADIPOQ,ENSG00000181092
ADIPOR1,ENSG00000159346
ADIPOR2,ENSG00000006831
ADM,ENSG00000148926
ADNP,ENSG00000101126
ADORA1,ENSG00000163485
ADORA2A,ENSG00000128271
ADORA2B,ENSG00000170425
ADORA3,ENSG00000282608
ADRA1A,ENSG00000120907
ADRA1B,ENSG00000170214
ADRA1D,ENSG00000171873
ADRA2A,ENSG00000150594
ADRA2B,ENSG00000274286
ADRA2C,ENSG00000184160
ADRB1,ENSG00000043591
ADRB2,ENSG00000169252
ADRB3,ENSG00000188778
ADTRP,ENSG00000111863
AEBP1,ENSG00000106624
AFAP1L2,ENSG00000169129
AFF1,ENSG00000172493
AFF2,ENSG00000155966
AFG1L,ENSG00000135537
AFM,ENSG00000079557
AGAP1,ENSG00000157985
AGAP3,ENSG00000133612
AGER,ENSG00000204305
AGMAT,ENSG00000116771
AGO1,ENSG00000092847
AGR3,ENSG00000173467
AGRP,ENSG00000159723
AGTR1,ENSG00000144891
AGTR2,ENSG00000180772
AGXT,ENSG00000172482
AHCY,ENSG00000101444
AHR,ENSG00000106546
AHRR,ENSG00000063438
AHSG,ENSG00000145192
AICDA,ENSG00000111732
AIF1L,ENSG00000126878
AIFM1,ENSG00000156709
AIM2,ENSG00000163568
AIMP2,ENSG00000106305
AIP,ENSG00000110711
AIRE,ENSG00000160224
AJAP1,ENSG00000196581
AKAP11,ENSG00000023516
AKAP4,ENSG00000147081
AKAP8,ENSG00000105127
AKR1B1,ENSG00000085662
AKR1C3,ENSG00000196139
AKT1,ENSG00000142208
AKT2,ENSG00000105221
AKT3,ENSG00000117020
AKTIP,ENSG00000166971
ALAD,ENSG00000148218
ALCAM,ENSG00000170017
ALDH1B1,ENSG00000137124
ALDH2,ENSG00000111275
ALDH3A2,ENSG00000072210
ALDH7A1,ENSG00000164904
ALDOA,ENSG00000149925
ALG11,ENSG00000253710
ALG13,ENSG00000101901
ALG2,ENSG00000119523
ALG6,ENSG00000088035
ALG9,ENSG00000086848
ALK,ENSG00000171094
ALKBH5,ENSG00000091542
ALOX12,ENSG00000108839
ALOX15,ENSG00000161905
ALOX5,ENSG00000012779
ALPK1,ENSG00000073331
ALPK3,ENSG00000136383
ALPL,ENSG00000162551
ALX1,ENSG00000180318
ALYREF,ENSG00000183684
AMACR,ENSG00000242110
AMER1,ENSG00000184675
AMFR,ENSG00000159461
AMH,ENSG00000104899
AMIGO1,ENSG00000181754
AMIGO3,ENSG00000176020
AMOT,ENSG00000126016
ANAPC1,ENSG00000153107
ANGPT1,ENSG00000154188
ANGPT2,ENSG00000091879
ANGPTL2,ENSG00000136859
ANGPTL3,ENSG00000132855
ANGPTL4,ENSG00000167772
ANGPTL6,ENSG00000130812
ANGPTL7,ENSG00000171819
ANGPTL8,ENSG00000130173
ANK1,ENSG00000029534
ANKHD1,ENSG00000131503
ANKK1,ENSG00000170209
ANKRD13A,ENSG00000076513
ANKRD13D,ENSG00000172932
ANKRD17,ENSG00000132466
ANKRD30A,ENSG00000148513
ANKRD40,ENSG00000154945
ANKRD44,ENSG00000065413
ANKRD6,ENSG00000135299
ANKS1A,ENSG00000064999
ANKS6,ENSG00000165138
ANKZF1,ENSG00000163516
ANO1,ENSG00000131620
ANO3,ENSG00000134343
ANP32E,ENSG00000143401
ANPEP,ENSG00000166825
ANXA10,ENSG00000109511
ANXA2,ENSG00000182718
ANXA3,ENSG00000138772
ANXA5,ENSG00000164111
ANXA8,ENSG00000265190
AOAH,ENSG00000136250
AOC3,ENSG00000131471
AOX1,ENSG00000138356
AP1B1,ENSG00000100280
AP1M1,ENSG00000072958
AP1S3,ENSG00000152056
AP2A1,ENSG00000196961
AP2A2,ENSG00000183020
AP2M1,ENSG00000161203
AP3B2,ENSG00000103723
AP3D1,ENSG00000065000
AP3M2,ENSG00000070718
AP5B1,ENSG00000254470
APAF1,ENSG00000120868
APC,ENSG00000134982
APCDD1,ENSG00000154856
APELA,ENSG00000248329
APEX1,ENSG00000100823
APEX2,ENSG00000169188
APH1B,ENSG00000138613
API5,ENSG00000166181
APLF,ENSG00000169621
APLN,ENSG00000171388
APLNR,ENSG00000134817
APMAP,ENSG00000101474
APOB,ENSG00000084674
APOBEC3B,ENSG00000179750
APOBEC3C,ENSG00000244509
APOBEC3D,ENSG00000243811
APOBEC3F,ENSG00000128394
APOBEC3G,ENSG00000239713
APOD,ENSG00000189058
APOE,ENSG00000130203
APOL1,ENSG00000100342
APOL2,ENSG00000128335
APOL3,ENSG00000128284
APOL6,ENSG00000221963
APOM,ENSG00000204444
APP,ENSG00000142192
APPBP2,ENSG00000062725
APTX,ENSG00000137074
AQP2,ENSG00000167580
AQP4,ENSG00000171885
AQP5,ENSG00000161798
AQP7,ENSG00000165269
AQP8,ENSG00000103375
AQP9,ENSG00000103569
AR,ENSG00000169083
ARC,ENSG00000198576
ARF1,ENSG00000143761
ARF6,ENSG00000165527
ARFIP1,ENSG00000164144
ARG1,ENSG00000118520
ARG2,ENSG00000081181
ARHGAP35,ENSG00000160007
ARHGAP36,ENSG00000147256
ARHGEF2,ENSG00000116584
ARHGEF7,ENSG00000102606
ARID1A,ENSG00000117713
ARID3B,ENSG00000179361
ARL4D,ENSG00000175906
ARL8B,ENSG00000134108
ARMC5,ENSG00000140691
ARMC7,ENSG00000125449
ARMH3,ENSG00000120029
ARNT,ENSG00000143437
ARNT2,ENSG00000172379
ARNTL,ENSG00000133794
ARR3,ENSG00000120500
ARRB1,ENSG00000137486
ARRB2,ENSG00000141480
ARRDC3,ENSG00000113369
ART1,ENSG00000129744
ART3,ENSG00000156219
ART4,ENSG00000111339
ARX,ENSG00000004848
ASCC2,ENSG00000100325
ASCC3,ENSG00000112249
ASCL1,ENSG00000139352
ASCL2,ENSG00000183734
ASF1B,ENSG00000105011
ASH2L,ENSG00000129691
ASIC1,ENSG00000110881
ASPM,ENSG00000066279
ASPN,ENSG00000106819
ASTN2,ENSG00000148219
ASXL1,ENSG00000171456
ATAD3A,ENSG00000197785
ATF1,ENSG00000123268
ATF2,ENSG00000115966
ATF3,ENSG00000162772
ATF4,ENSG00000128272
ATF6,ENSG00000118217
ATG10,ENSG00000152348
ATG16L1,ENSG00000085978
ATG2A,ENSG00000110046
ATG5,ENSG00000057663
ATG7,ENSG00000197548
ATIC,ENSG00000138363
ATL1,ENSG00000198513
ATL2,ENSG00000119787
ATL3,ENSG00000184743
ATM,ENSG00000149311
ATOH1,ENSG00000172238
ATOH7,ENSG00000179774
ATOH8,ENSG00000168874
ATP10D,ENSG00000145246
ATP13A2,ENSG00000159363
ATP1A1,ENSG00000163399
ATP2A2,ENSG00000174437
ATP2B1,ENSG00000070961
ATP5F1A,ENSG00000152234
ATP5F1C,ENSG00000165629
ATP6V0D2,ENSG00000147614
ATP6V1B1,ENSG00000116039
ATP6V1G3,ENSG00000151418
ATP6V1H,ENSG00000047249
ATP7A,ENSG00000165240
ATP7B,ENSG00000123191
ATPAF1,ENSG00000123472
ATPSCKMT,ENSG00000150756
ATR,ENSG00000175054
ATRX,ENSG00000085224
ATXN1,ENSG00000124788
ATXN1L,ENSG00000224470
ATXN2,ENSG00000204842
ATXN2L,ENSG00000168488
ATXN3,ENSG00000066427
ATXN7L2,ENSG00000162650
AUNIP,ENSG00000127423
AURKA,ENSG00000087586
AURKB,ENSG00000178999
AURKC,ENSG00000105146
AVPR1A,ENSG00000166148
AVPR1B,ENSG00000198049
AVPR2,ENSG00000126895
AXIN1,ENSG00000103126
AXIN2,ENSG00000168646
AXL,ENSG00000167601
B3GAT1,ENSG00000109956
B4GAT1,ENSG00000174684
BAALC,ENSG00000164929
BAAT,ENSG00000136881
BACE1,ENSG00000186318
BACE2,ENSG00000182240
BACH2,ENSG00000112182
BAD,ENSG00000002330
BAG2,ENSG00000112208
BAG3,ENSG00000151929
BAG6,ENSG00000204463
BAIAP2,ENSG00000175866
BAK1,ENSG00000030110
BANK1,ENSG00000153064
BAP1,ENSG00000163930
BARD1,ENSG00000138376
BARHL2,ENSG00000143032
BARX2,ENSG00000043039
BATF,ENSG00000156127
BATF3,ENSG00000123685
BAX,ENSG00000087088
BAZ2B,ENSG00000123636
BBC3,ENSG00000105327
BCAM,ENSG00000187244
BCAN,ENSG00000132692
BCAR1,ENSG00000050820
BCAR3,ENSG00000137936
BCAR4,ENSG00000262117
BCAS3,ENSG00000141376
BCCIP,ENSG00000107949
BCHE,ENSG00000114200
BCKDK,ENSG00000103507
BCL10,ENSG00000142867
BCL11A,ENSG00000119866
BCL11B,ENSG00000127152
BCL2,ENSG00000171791
BCL2A1,ENSG00000140379
BCL2L1,ENSG00000171552
BCL2L11,ENSG00000153094
BCL2L12,ENSG00000126453
BCL2L13,ENSG00000099968
BCL2L2,ENSG00000129473
BCL3,ENSG00000069399
BCL6,ENSG00000113916
BCL6B,ENSG00000161940
BCL7B,ENSG00000106635
BCL7C,ENSG00000099385
BCOR,ENSG00000183337
BCORL1,ENSG00000085185
BCR,ENSG00000186716
BDKRB1,ENSG00000100739
BDKRB2,ENSG00000168398
BDNF,ENSG00000176697
BEAN1,ENSG00000166546
BECN1,ENSG00000126581
BEX2,ENSG00000133134
BFSP1,ENSG00000125864
BFSP2,ENSG00000170819
BHMT,ENSG00000145692
BICRAL,ENSG00000112624
BID,ENSG00000015475
BIK,ENSG00000100290
BIRC2,ENSG00000110330
BIRC5,ENSG00000089685
BIRC7,ENSG00000101197
BLK,ENSG00000136573
BLM,ENSG00000197299
BLNK,ENSG00000095585
BLOC1S2,ENSG00000196072
BLVRA,ENSG00000106605
BMI1,ENSG00000168283
BMP2,ENSG00000125845
BMP2K,ENSG00000138756
BMP4,ENSG00000125378
BMP5,ENSG00000112175
BMP6,ENSG00000153162
BMP7,ENSG00000101144
BMP8A,ENSG00000183682
BMP8B,ENSG00000116985
BMPER,ENSG00000164619
BMPR1A,ENSG00000107779
BMPR1B,ENSG00000138696
BMPR2,ENSG00000204217
BMX,ENSG00000102010
BNC1,ENSG00000169594
BNC2,ENSG00000173068
BNIP3,ENSG00000176171
BOLL,ENSG00000152430
BRAF,ENSG00000157764
BRCA1,ENSG00000012048
BRCA2,ENSG00000139618
BRD3,ENSG00000169925
BRD4,ENSG00000141867
BRDT,ENSG00000137948
BRI3BP,ENSG00000184992
BRINP1,ENSG00000078725
BRIP1,ENSG00000136492
BRIX1,ENSG00000113460
BRSK2,ENSG00000174672
BSDC1,ENSG00000160058
BST1,ENSG00000109743
BST2,ENSG00000130303
BTAF1,ENSG00000095564
BTBD9,ENSG00000183826
BTK,ENSG00000010671
BTLA,ENSG00000186265
BTN3A1,ENSG00000026950
BTNL2,ENSG00000204290
BTRC,ENSG00000166167
BUB1,ENSG00000169679
BUB1B,ENSG00000156970
BVES,ENSG00000112276
C1QBP,ENSG00000108561
C1QL3,ENSG00000165985
C1QTNF1,ENSG00000173918
C1QTNF6,ENSG00000133466
C1QTNF9,ENSG00000240654
C1RL,ENSG00000139178
C3,ENSG00000125730
C3AR1,ENSG00000171860
C4A,ENSG00000244731
C4B,ENSG00000224389
C5,ENSG00000106804
C5AR1,ENSG00000197405
C6,ENSG00000039537
C8B,ENSG00000021852
C8G,ENSG00000176919
C9,ENSG00000113600
CA10,ENSG00000154975
CA12,ENSG00000074410
CA14,ENSG00000118298
CA4,ENSG00000167434
CA9,ENSG00000107159
CABCOCO1,ENSG00000183346
CABP4,ENSG00000175544
CABYR,ENSG00000154040
CACNA1B,ENSG00000148408
CACNA1C,ENSG00000151067
CACNA1D,ENSG00000157388
CACNA1G,ENSG00000006283
CACNA1H,ENSG00000196557
CACNA2D1,ENSG00000153956
CACNG3,ENSG00000006116
CACNG4,ENSG00000075461
CACNG5,ENSG00000075429
CACUL1,ENSG00000151893
CACYBP,ENSG00000116161
CAD,ENSG00000084774
CADM3,ENSG00000162706
CADM4,ENSG00000105767
CALB1,ENSG00000104327
CALB2,ENSG00000172137
CALCA,ENSG00000110680
CALCB,ENSG00000175868
CALCR,ENSG00000004948
CALCRL,ENSG00000064989
CALD1,ENSG00000122786
CALM1,ENSG00000198668
CALM3,ENSG00000160014
CALML3,ENSG00000178363
CALR3,ENSG00000269058
CAMK1,ENSG00000134072
CAMK2A,ENSG00000070808
CAMK2B,ENSG00000058404
CAMK2D,ENSG00000145349
CAMK2G,ENSG00000148660
CAMKV,ENSG00000164076
CAMP,ENSG00000164047
CAMSAP2,ENSG00000118200
CAND1,ENSG00000111530
CANX,ENSG00000127022
CAPN1,ENSG00000014216
CAPN3,ENSG00000092529
CARD10,ENSG00000100065
CARD11,ENSG00000198286
CARD14,ENSG00000141527
CARD8,ENSG00000105483
CARD9,ENSG00000187796
CARF,ENSG00000138380
CARM1,ENSG00000142453
CARTPT,ENSG00000164326
CASC8,ENSG00000246228
CASK,ENSG00000147044
CASP1,ENSG00000137752
CASP10,ENSG00000003400
CASP2,ENSG00000106144
CASP3,ENSG00000164305
CASP6,ENSG00000138794
CASP7,ENSG00000165806
CASP8,ENSG00000064012
CASP8AP2,ENSG00000118412
CASP9,ENSG00000132906
CASQ2,ENSG00000118729
CASR,ENSG00000036828
CASS4,ENSG00000087589
CASZ1,ENSG00000130940
CAT,ENSG00000121691
CATSPER2,ENSG00000166762
CAV2,ENSG00000105971
CAVIN2,ENSG00000168497
CAVIN3,ENSG00000170955
CBARP,ENSG00000099625
CBFB,ENSG00000067955
CBL,ENSG00000110395
CBLB,ENSG00000114423
CBLIF,ENSG00000134812
CBLN1,ENSG00000102924
CBLN3,ENSG00000139899
CBLN4,ENSG00000054803
CBR1,ENSG00000159228
CBS,ENSG00000160200
CBSL,ENSG00000274276
CBWD2,ENSG00000136682
CBX1,ENSG00000108468
CBX3,ENSG00000122565
CBX5,ENSG00000094916
CBX7,ENSG00000100307
CC2D1A,ENSG00000132024
CCAR2,ENSG00000158941
CCAT2,ENSG00000280997
CCBE1,ENSG00000183287
CCDC102B,ENSG00000150636
CCDC103,ENSG00000167131
CCDC113,ENSG00000103021
CCDC124,ENSG00000007080
CCDC136,ENSG00000128596
CCDC137,ENSG00000185298
CCDC14,ENSG00000175455
CCDC141,ENSG00000163492
CCDC170,ENSG00000120262
CCDC27,ENSG00000162592
CCDC33,ENSG00000140481
CCDC43,ENSG00000180329
CCDC50,ENSG00000152492
CCDC51,ENSG00000164051
CCDC57,ENSG00000176155
CCDC6,ENSG00000108091
CCDC61,ENSG00000104983
CCDC62,ENSG00000130783
CCDC7,ENSG00000216937
CCDC77,ENSG00000120647
CCDC80,ENSG00000091986
CCDC86,ENSG00000110104
CCDC9,ENSG00000105321
CCDC91,ENSG00000123106
CCK,ENSG00000187094
CCKAR,ENSG00000163394
CCKBR,ENSG00000110148
CCL1,ENSG00000108702
CCL11,ENSG00000172156
CCL13,ENSG00000181374
CCL14,ENSG00000276409
CCL15,ENSG00000275718
CCL16,ENSG00000275152
CCL17,ENSG00000102970
CCL18,ENSG00000275385
CCL19,ENSG00000172724
CCL2,ENSG00000108691
CCL20,ENSG00000115009
CCL21,ENSG00000137077
CCL22,ENSG00000102962
CCL23,ENSG00000274736
CCL24,ENSG00000106178
CCL25,ENSG00000131142
CCL26,ENSG00000006606
CCL27,ENSG00000213927
CCL28,ENSG00000151882
CCL4,ENSG00000275302
CCL7,ENSG00000108688
CCL8,ENSG00000108700
CCN1,ENSG00000142871
CCN2,ENSG00000118523
CCN3,ENSG00000136999
CCN4,ENSG00000104415
CCN5,ENSG00000064205
CCNA1,ENSG00000133101
CCNA2,ENSG00000145386
CCNB1,ENSG00000134057
CCNB2,ENSG00000157456
CCNB3,ENSG00000147082
CCND1,ENSG00000110092
CCND2,ENSG00000118971
CCND3,ENSG00000112576
CCNDBP1,ENSG00000166946
CCNE1,ENSG00000105173
CCNO,ENSG00000152669
CCNT1,ENSG00000129315
CCNY,ENSG00000108100
CCR1,ENSG00000163823
CCR2,ENSG00000121807
CCR3,ENSG00000183625
CCR4,ENSG00000183813
CCR5,ENSG00000160791
CCR6,ENSG00000112486
CCR7,ENSG00000126353
CCR8,ENSG00000179934
CCR9,ENSG00000173585
CCRL2,ENSG00000121797
CCT2,ENSG00000166226
CCT3,ENSG00000163468
CCT5,ENSG00000150753
CCT6A,ENSG00000146731
CCT7,ENSG00000135624
CCT8,ENSG00000156261
CD101,ENSG00000134256
CD109,ENSG00000156535
CD14,ENSG00000170458
CD151,ENSG00000177697
CD160,ENSG00000117281
CD163,ENSG00000177575
CD177,ENSG00000204936
CD180,ENSG00000134061
CD19,ENSG00000177455
CD1A,ENSG00000158477
CD1B,ENSG00000158485
CD1C,ENSG00000158481
CD1D,ENSG00000158473
CD1E,ENSG00000158488
CD2,ENSG00000116824
CD200,ENSG00000091972
CD207,ENSG00000116031
CD209,ENSG00000090659
CD22,ENSG00000012124
CD226,ENSG00000150637
CD244,ENSG00000122223
CD247,ENSG00000198821
CD248,ENSG00000174807
CD27,ENSG00000139193
CD274,ENSG00000120217
CD276,ENSG00000103855
CD28,ENSG00000178562
CD2AP,ENSG00000198087
CD2BP2,ENSG00000169217
CD300A,ENSG00000167851
CD300C,ENSG00000167850
CD300E,ENSG00000186407
CD300LG,ENSG00000161649
CD302,ENSG00000241399
CD320,ENSG00000167775
CD33,ENSG00000105383
CD34,ENSG00000174059
CD36,ENSG00000135218
CD38,ENSG00000004468
CD3E,ENSG00000198851
CD3EAP,ENSG00000117877
CD3G,ENSG00000160654
CD4,ENSG00000010610
CD40,ENSG00000101017
CD40LG,ENSG00000102245
CD44,ENSG00000026508
CD46,ENSG00000117335
CD47,ENSG00000196776
CD5,ENSG00000110448
CD55,ENSG00000196352
CD58,ENSG00000116815
CD59,ENSG00000085063
CD5L,ENSG00000073754
CD6,ENSG00000013725
CD68,ENSG00000129226
CD69,ENSG00000110848
CD7,ENSG00000173762
CD70,ENSG00000125726
CD72,ENSG00000137101
CD74,ENSG00000019582
CD79A,ENSG00000105369
CD79B,ENSG00000007312
CD80,ENSG00000121594
CD82,ENSG00000085117
CD83,ENSG00000112149
CD84,ENSG00000066294
CD86,ENSG00000114013
CD8A,ENSG00000153563
CD8B,ENSG00000172116
CD9,ENSG00000010278
CD93,ENSG00000125810
CD96,ENSG00000153283
CD99,ENSG00000002586
CDA,ENSG00000158825
CDAN1,ENSG00000140326
CDC123,ENSG00000151465
CDC14A,ENSG00000079335
CDC20,ENSG00000117399
CDC25A,ENSG00000164045
CDC25C,ENSG00000158402
CDC27,ENSG00000004897
CDC34,ENSG00000099804
CDC37,ENSG00000105401
CDC42,ENSG00000070831
CDC42BPG,ENSG00000171219
CDC6,ENSG00000094804
CDC73,ENSG00000134371
CDCA2,ENSG00000184661
CDCA3,ENSG00000111665
CDCA7L,ENSG00000164649
CDCP1,ENSG00000163814
CDH1,ENSG00000039068
CDH11,ENSG00000140937
CDH13,ENSG00000140945
CDH16,ENSG00000166589
CDH2,ENSG00000170558
CDH22,ENSG00000149654
CDH23,ENSG00000107736
CDH3,ENSG00000062038
CDH5,ENSG00000179776
CDH6,ENSG00000113361
CDH7,ENSG00000081138
CDHR1,ENSG00000148600
CDHR2,ENSG00000074276
CDK1,ENSG00000170312
CDK10,ENSG00000185324
CDK14,ENSG00000058091
CDK16,ENSG00000102225
CDK17,ENSG00000059758
CDK18,ENSG00000117266
CDK2,ENSG00000123374
CDK3,ENSG00000250506
CDK4,ENSG00000135446
CDK5,ENSG00000164885
CDK5RAP1,ENSG00000101391
CDK6,ENSG00000105810
CDK7,ENSG00000134058
CDK8,ENSG00000132964
CDK9,ENSG00000136807
CDKAL1,ENSG00000145996
CDKL1,ENSG00000100490
CDKL3,ENSG00000006837
CDKN1A,ENSG00000124762
CDKN1B,ENSG00000111276
CDKN1C,ENSG00000129757
CDKN2A,ENSG00000147889
CDKN2AIP,ENSG00000168564
CDKN2B,ENSG00000147883
CDKN3,ENSG00000100526
CDR2L,ENSG00000109089
CDSN,ENSG00000204539
CDV3,ENSG00000091527
CDX1,ENSG00000113722
CDX2,ENSG00000165556
CEACAM1,ENSG00000079385
CEACAM3,ENSG00000170956
CEACAM8,ENSG00000124469
CEBPA,ENSG00000245848
CELSR1,ENSG00000075275
CELSR2,ENSG00000143126
CELSR3,ENSG00000008300
CEMIP2,ENSG00000135048
CENPA,ENSG00000115163
CENPB,ENSG00000125817
CENPF,ENSG00000117724
CENPV,ENSG00000166582
CEP112,ENSG00000154240
CEP128,ENSG00000100629
CEP170,ENSG00000143702
CEP19,ENSG00000174007
CEP44,ENSG00000164118
CEP55,ENSG00000138180
CEP85,ENSG00000130695
CES1,ENSG00000198848
CETP,ENSG00000087237
CFAP20,ENSG00000070761
CFAP43,ENSG00000197748
CFAP46,ENSG00000171811
CFAP47,ENSG00000165164
CFB,ENSG00000243649
CFC1,ENSG00000136698
CFDP1,ENSG00000153774
CFH,ENSG00000000971
CFHR1,ENSG00000244414
CFL2,ENSG00000165410
CFLAR,ENSG00000003402
CFP,ENSG00000126759
CFTR,ENSG00000001626
CGAS,ENSG00000164430
CGB3,ENSG00000104827
CGNL1,ENSG00000128849
CGRRF1,ENSG00000100532
CH25H,ENSG00000138135
CHAD,ENSG00000136457
CHAF1A,ENSG00000167670
CHAMP1,ENSG00000198824
CHD3,ENSG00000170004
CHD5,ENSG00000116254
CHD7,ENSG00000171316
CHEK1,ENSG00000149554
CHEK2,ENSG00000183765
CHFR,ENSG00000072609
CHIT1,ENSG00000133063
CHKA,ENSG00000110721
CHMP1A,ENSG00000131165
CHODL,ENSG00000154645
CHRAC1,ENSG00000104472
CHRDL2,ENSG00000054938
CHRM1,ENSG00000168539
CHRM2,ENSG00000181072
CHRM3,ENSG00000133019
CHRM4,ENSG00000180720
CHRM5,ENSG00000184984
CHRNA2,ENSG00000120903
CHRNA3,ENSG00000080644
CHRNA4,ENSG00000101204
CHRNA5,ENSG00000169684
CHRNA6,ENSG00000147434
CHRNA7,ENSG00000175344
CHRNB1,ENSG00000170175
CHRNB2,ENSG00000160716
CHRNB3,ENSG00000147432
CHRNB4,ENSG00000117971
CHST8,ENSG00000124302
CHUK,ENSG00000213341
CIDEC,ENSG00000187288
CIITA,ENSG00000179583
CILP2,ENSG00000160161
CINP,ENSG00000100865
CIP2A,ENSG00000163507
CISD2,ENSG00000145354
CKAP2,ENSG00000136108
CKAP4,ENSG00000136026
CKAP5,ENSG00000175216
CKS2,ENSG00000123975
CLCN3,ENSG00000109572
CLCN4,ENSG00000073464
CLCN5,ENSG00000171365
CLDN1,ENSG00000163347
CLDN11,ENSG00000013297
CLDN18,ENSG00000066405
CLDN5,ENSG00000184113
CLDN7,ENSG00000181885
CLEC10A,ENSG00000132514
CLEC12A,ENSG00000172322
CLEC14A,ENSG00000176435
CLEC16A,ENSG00000038532
CLEC2A,ENSG00000188393
CLEC4A,ENSG00000111729
CLEC4C,ENSG00000198178
CLEC4D,ENSG00000166527
CLEC4M,ENSG00000104938
CLEC5A,ENSG00000258227
CLEC6A,ENSG00000205846
CLEC7A,ENSG00000172243
CLEC9A,ENSG00000197992
CLGN,ENSG00000153132
CLIC3,ENSG00000169583
CLIC4,ENSG00000169504
CLIC6,ENSG00000159212
CLK2,ENSG00000176444
CLK3,ENSG00000179335
CLK4,ENSG00000113240
CLN3,ENSG00000188603
CLN5,ENSG00000102805
CLNK,ENSG00000109684
CLOCK,ENSG00000134852
CLPTM1L,ENSG00000049656
CLPX,ENSG00000166855
CLSTN1,ENSG00000171603
CLSTN3,ENSG00000139182
CLTC,ENSG00000141367
CMA1,ENSG00000092009
CMKLR1,ENSG00000174600
CMSS1,ENSG00000184220
CMTM5,ENSG00000166091
CMTM8,ENSG00000170293
CMYA5,ENSG00000164309
CNDP1,ENSG00000150656
CNGB1,ENSG00000070729
CNGB3,ENSG00000170289
CNIH4,ENSG00000143771
CNKSR3,ENSG00000153721
CNMD,ENSG00000136110
CNNM1,ENSG00000119946
CNNM3,ENSG00000168763
CNOT1,ENSG00000125107
CNP,ENSG00000173786
CNR1,ENSG00000118432
CNR2,ENSG00000188822
CNRIP1,ENSG00000119865
CNST,ENSG00000162852
CNTF,ENSG00000242689
CNTLN,ENSG00000044459
CNTN2,ENSG00000184144
CNTN6,ENSG00000134115
CNTNAP1,ENSG00000108797
CNTNAP3,ENSG00000106714
CNTNAP4,ENSG00000152910
CNTROB,ENSG00000170037
COASY,ENSG00000068120
COBLL1,ENSG00000082438
COCH,ENSG00000100473
COIL,ENSG00000121058
COL10A1,ENSG00000123500
COL11A1,ENSG00000060718
COL12A1,ENSG00000111799
COL17A1,ENSG00000065618
COL18A1,ENSG00000182871
COL1A1,ENSG00000108821
COL1A2,ENSG00000164692
COL23A1,ENSG00000050767
COL25A1,ENSG00000188517
COL2A1,ENSG00000139219
